n,true,quad,mc,qmc,bq,sbq_uni,sbq_uni_m12,sbq_uni_m32,sbq_uni_m52,sbq_gauss,sbq_gauss_m12,sbq_gauss_m32,sbq_gauss_m52
10.0,5.0019268472483045,-8.842987011090338,5.4706921217905515,13.209466694800389,7.021769404998281,4.98828078654393,10.037447694488046,7.543711101649288,4.336078306760839,6.686163427563743,10.939500457552018,9.04881729535333,6.390479633485585
25.0,5.0019268472483045,9.210678579916635,4.318148169785181,6.016092424980684,5.496701597993752,4.768540426806476,5.528080912259365,5.082332112796085,4.917025998916648,5.3856090703077415,6.135753651315367,5.625407750076276,5.544143437888331
50.0,5.0019268472483045,9.220110138797038,4.7905739396422025,6.1710753974645245,6.319732914737653,5.701498226957091,5.341519922756865,5.619483692484797,5.877136103574292,6.234870134445024,5.747831592419393,6.070018454669752,6.344463038147614
100.0,5.0019268472483045,4.9951135174314265,5.709328650651661,6.342871563330581,6.871617665900969,6.142321764335926,6.145133696771735,6.163226131730253,6.269189690450571,6.801675277053865,6.728505882819677,6.745727821988815,6.906652494107017
200.0,5.0019268472483045,5.003233170605254,4.809277023803078,5.580411563875694,6.152424039219498,5.634525963143396,5.358565370608005,5.437630937209762,5.628307048465693,6.154263070416148,5.858777687790481,5.9364919639921725,6.128172798601932
300.0,5.0019268472483045,5.001442437811429,5.213870925328486,5.139753494740921,5.538931187175168,5.064678423614877,5.007040603961352,5.054910926491313,5.073065350176661,5.5153471006854105,5.452179821123802,5.49145017028456,5.516359057869855
400.0,5.0019268472483045,5.001343715931679,5.22887915765221,5.120211458084962,5.5615006076006,5.093967979732236,5.107303659597916,5.094607379147216,5.100908369042186,5.544502093374094,5.548883907481523,5.538945832055012,5.546315042230766
500.0,5.0019268472483045,4.999853534667259,5.075909909426196,5.176185897849125,5.640982674946479,5.170827240388662,5.140173030716353,5.1343474978843835,5.1690702597499,5.627709224693559,5.591155545222645,5.585694014533224,5.620408624228985
600.0,5.0019268472483045,5.00470487973734,4.735322917760401,5.241327934985852,5.7098646168003375,5.218465461870567,5.221110987304732,5.223286443102679,5.226470434979833,5.68931336467871,5.677541778404195,5.683192428510301,5.692726952417793
700.0,5.0019268472483045,4.996118158641714,4.982629140677565,5.09004319769014,5.53407136470466,5.070274548623158,5.08932250017347,5.070577997005938,5.075026090211456,5.516153884932908,5.5340464891432255,5.515284747227865,5.517536154771258
800.0,5.0019268472483045,4.998769474132263,5.090362065812945,5.1027127002560135,5.538853383858578,5.083987252482968,5.088784955187042,5.075315136345122,5.078004926221062,5.530628407843978,5.532406765495194,5.519400617485959,5.522085551023601
900.0,5.0019268472483045,5.0036839502025,5.175719156210469,5.090712301979041,5.530658800693304,5.07898707658509,5.083071526066564,5.074290623038452,5.0750452535425055,5.5217638743012,5.525767402438207,5.517504960229191,5.516459085524137
1000.0,5.0019268472483045,5.002215631453078,5.120378317589317,5.045807881846907,5.4831353360102595,5.0311469621756535,5.05774247153289,5.030639173888629,5.030422478629981,5.469031555009358,5.494482774122574,5.466643542611809,5.466250013440168
