n,quad,mc,qmc,bq,sbq_uni,sbq_uni_m12,sbq_uni_m32,sbq_uni_m52,sbq_gauss,sbq_gauss_m12,sbq_gauss_m32,sbq_gauss_m52
10.0,276.7916101363038,74.08094372004112,164.08756261733967,40.38128943971158,4.343764737979929,100.6716211775452,50.81610211471382,16.835540155660212,33.67175554040706,118.70572664552533,80.90663001861637,27.760357730964454
25.0,84.14260866257334,39.82714197794761,20.27549799714284,9.89168306245098,4.665930301843978,14.843242658368064,11.507918431164082,4.538639797576359,7.670688412216822,22.667800603497692,13.656417891751726,10.840154348485028
50.0,84.33116717549103,34.80690761099025,23.373963392915307,26.34596841843679,13.986037802484898,14.624302128513031,12.346378987454168,17.497442146869155,24.649366631081293,19.749911400422363,21.353603122145504,26.84038035537997
100.0,0.30219075125031825,23.541326726920865,26.808563120429643,37.379411489818835,22.799112260407888,22.855329244815714,23.21703855226934,25.33549333892046,35.98110257841238,34.518278421468956,34.86258451980008,38.0798381309106
200.0,0.3069570888538605,13.23751120752532,11.565237443359043,23.001079925911245,12.64710850865606,7.130022774241473,8.710724951948276,12.522778128232284,23.037846381175605,17.130415272137668,18.684102052751914,22.516241955301858
300.0,0.1691430072650532,11.490091336842251,2.7554710754804304,10.735949491590114,1.2545480628349241,0.6467001168289535,1.0592733732632864,1.4222219776663116,10.264449463501327,9.001590539517666,9.786694967471515,10.284680810647103
400.0,0.17822470738166102,9.03861252335434,2.3647809024182522,11.18716401580588,1.8401135261417605,2.106724379777436,1.8528965882397614,1.978867840666942,10.847324694967813,10.934927217780391,10.736242276356714,10.883569704381946
500.0,0.14925982505337967,7.171865751023643,3.4838384471113613,12.776192999498528,3.3767065832494945,2.7638585627077386,2.6473927884196824,3.341580506990976,12.510826258675003,11.780034294153907,11.67084575829146,12.364870496275357
600.0,0.1361653193548929,8.105164087727415,4.786177308235732,14.15330114116902,4.32910398802388,4.381994114468261,4.425486469802158,4.489141776534716,13.7424344342132,13.507093401966975,13.620062869107736,13.810679889281406
700.0,0.16019624503349444,11.309483230628285,1.7616481234688994,10.638790484293143,1.3664274481034135,1.7472397256918064,1.3724940778652563,1.461421671997602,10.28057893264663,10.63829316471623,10.263202874747606,10.3082136798263
800.0,0.1669262777574369,8.2451903256771,2.0149405636181,10.734394024687756,1.6405758768705039,1.7364929674355527,1.4672003677380965,1.5209754419861392,10.569957873065,10.605511324875192,10.345488569516615,10.399166554413956
900.0,0.11233505992825663,8.093425485059578,1.7750250541864687,10.570565495892243,1.5406108823678513,1.62226840368328,1.4467179948854683,1.461804790976236,10.392735498298476,10.47277521617659,10.307590029320826,10.286680593077685
1000.0,0.09636970441123142,5.82566649379114,0.8772826140539104,9.620462342960524,0.5841771745107502,1.1158824586827567,0.5740253209844572,0.5696930853227615,9.33849538439414,9.847323679778297,9.290753534693518,9.282885983174662
