n,quad,mc,qmc,bq,gbq_uni,gbq_uni_m12,gbq_uni_m32,gbq_uni_m52,gbq_gauss,gbq_gauss_m12,gbq_gauss_m32,gbq_gauss_m52
10.0,2.3125592949674396,8.432106839414514,3.9200061402366613,3.550426606195299,4.156865112073684,6.457665240530275,4.882804803464731,4.495734529878637,3.6874684653134326,6.427905319504874,4.477085469708354,4.047583575324003
25.0,4.300455078252223,7.697758247460093,2.649831780877613,1.0159487137155383,1.3164608756502763,2.5826991751937642,1.6123063169203553,1.3621336783946887,1.2833364317032188,2.7118728296525054,1.441621489321756,1.473131837187517
50.0,3.335809267468451,4.140610529227691,1.5237226056965605,0.46029964278597235,0.660035539717797,1.3719153656708134,0.6961983870942067,0.5241185270777748,0.5804660531187354,1.3844366711486507,0.8288247038563483,0.3607820183002288
100.0,1.9428941116301084,2.1014464380715663,0.24934175243697868,0.16223434668421516,0.25852029644955044,1.2352245641202957,0.46538353007041067,0.32706096193058487,0.23268867087696776,0.5763343829921531,0.3211651997965115,0.32837562395125064
200.0,3.1892342696706386,2.2292128574864796,0.3462543936114154,0.060498687943682655,0.11448169924621865,0.6600136373776261,0.2674655006461729,0.14325110438927594,0.10667063907771311,0.4790419470570341,0.1787704115059946,0.17079865847234713
300.0,2.1575724056406895,2.4448730625602098,0.30042570646522776,0.024140555795447806,0.0955527466964108,0.34845054651547275,0.18618310397089108,0.13215216363474994,0.1014531759953011,0.2580601326517545,0.11196903277452404,0.15582382832177769
400.0,0.9924992788582322,1.6969700054255576,0.23478898952676105,0.014851444076624892,0.06323191616259066,0.23835251619221504,0.14739631352976848,0.09178166595339247,0.11183070086410983,0.2186507021962404,0.1227293388407456,0.15405052272242775
500.0,0.9252866740437783,1.0649154025675354,0.19030283028197797,0.016995923215322752,0.03521426567444221,0.13382695589652074,0.08773477876342116,0.03800042881710045,0.10123200930222574,0.11736500745707312,0.10442997787358524,0.13052474386398263
600.0,0.918998468116467,0.9674549939801371,0.11116220137422082,0.011984993221665144,0.04159812108407745,0.1523396912226015,0.08221712474859048,0.05255548674535287,0.10536980232268565,0.11606103515141639,0.10750260440055319,0.13507944843064648
700.0,0.8412034072085219,2.429771379125622,0.13355417004423903,0.012451425794688916,0.03245223915873926,0.09181894547949539,0.03982368653175817,0.029138693614361843,0.09573465924251058,0.09925007307189557,0.09802510513538298,0.12323670746147011
800.0,1.0524515083031927,1.0649500526897226,0.13180481081339468,0.006268248418878982,0.03598249965196149,0.12429022371952642,0.044098562846133664,0.033356606908410955,0.09436356770760822,0.10707690885474103,0.09591723655132822,0.114685310809853
900.0,0.9291224941186105,1.2113134057141788,0.09197175663793582,0.0061747457920899255,0.029109867606225817,0.08221358734957923,0.035393177957163194,0.03746302171325472,0.09247759142689546,0.12109252066905475,0.09331943464470879,0.10495050466852845
1000.0,0.9685874643105273,1.0915211650297378,0.033803590347401984,0.006307158307955687,0.018914340481524426,0.10741746404558705,0.03564008765785577,0.028643004589131722,0.08945801827799245,0.12711504719818484,0.08551554633512522,0.10120509421447454
