n,true,quad,mc,qmc,bq,gbq_uni,gbq_uni_m12,gbq_uni_m32,gbq_uni_m52,gbq_gauss,gbq_gauss_m12,gbq_gauss_m32,gbq_gauss_m52
10.0,12.746630675791721,12.407025474276848,12.29641986472497,10.10105817307055,10.147569814618608,9.717029086745692,7.208635499102807,8.850607240190335,9.3665983789355,10.153044685185693,7.649151483824673,9.371989762127189,9.875959214708711
25.0,12.746630675791721,12.598869812697622,13.122758534703252,11.045292656060404,12.35659704636866,11.979282421168763,9.82206177759645,11.233056410649937,11.748525699752781,12.400899896986672,10.320976516352067,11.766064226666979,12.249887315616641
50.0,12.746630675791721,12.427925584233236,12.868799911813872,11.723708987634462,12.80622825887682,12.430735098637408,11.199974546337105,12.090337070296112,12.318893573788316,12.846695076664862,11.701580089771436,12.574165738215541,12.775592926575102
100.0,12.746630675791721,12.731102176441158,12.55375926676919,12.218103070714765,13.007367991195954,12.63311308032145,12.160955608211369,12.507501409492907,12.586412021755539,13.033270670454865,12.61575596979262,12.917459685664449,12.994048207988083
200.0,12.746630675791721,12.940678147154035,12.4928418128579,12.391298535511263,13.037992174349814,12.680057734293817,12.438981986000659,12.603653135144082,12.654472910003339,13.058725323244076,12.841519143729593,12.972449935408978,13.029253606650935
300.0,12.746630675791721,12.567120010686812,12.37983997947165,12.490802686864466,13.036917022018926,12.698707165970756,12.553216062772012,12.645993647590691,12.682803147446263,13.05804162380942,12.918035800013845,12.990191169361296,13.031853802262912
400.0,12.746630675791721,12.60602383509703,12.908712011442688,12.53224959317135,13.037015933160813,12.707962361816957,12.598928391504382,12.673326912924766,12.697586957040224,13.057739646081208,12.945775611109474,13.007063814143255,13.036646603489682
500.0,12.746630675791721,12.698639220873305,12.747519674888537,12.587449764144747,13.035826665612399,12.718983343982694,12.639617059664166,12.692053440312618,12.711033486542338,13.056718396151231,12.975175917745847,13.015056422386758,13.038044398125185
600.0,12.746630675791721,12.791879117862482,12.828725379365048,12.616863186398444,13.037565648758354,12.724011270468868,12.662945303892489,12.703948097222598,12.717426018797413,13.057077990490123,12.99166301714149,13.023136776176077,13.040364565851766
700.0,12.746630675791721,12.6399992867855,12.924669778168596,12.638548560012172,13.038225483109278,12.727882887316301,12.677873836639455,12.709985577864341,12.721432971192803,13.056570217536063,13.001329485938498,13.025508039098849,13.040456443176367
800.0,12.746630675791721,12.765170762780969,12.832335806274742,12.628250861244643,13.031941259532573,12.725105700189436,12.6802037325432,12.711007423619378,12.719376746305212,13.049961202288008,12.99971034130844,13.022259861264743,13.034289179909015
900.0,12.746630675791721,12.789888877279253,12.661963833144632,12.640972294095254,13.031660084710898,12.727746477644258,12.684701622115757,12.712623449441967,12.721618086254235,13.050144508209305,13.00304253700322,13.022795628100322,13.034442426643668
1000.0,12.746630675791721,12.72424698014854,12.681651373768357,12.671675092445053,13.029848072237778,12.728474398865107,12.690214820928569,12.71472939170663,12.723582204895747,13.048326010305484,13.006562817104305,13.022829421449568,13.034015576893697
