n,quad,mc,qmc,bq,gbq_uni,gbq_uni_m12,gbq_uni_m32,gbq_uni_m52,gbq_gauss,gbq_gauss_m12,gbq_gauss_m32,gbq_gauss_m52
10.0,3.4059969996883623,9.666290805637095,21.339566449396298,21.073473565743537,24.340448206944124,42.53606825128338,30.753410949531922,26.969443697322752,21.003518449097143,39.03954350969324,26.748669188208787,23.054255740188534
25.0,4.626520169169259,9.319160396725819,13.598967858953817,3.252497099134665,6.179186507464311,23.95745020431082,12.031090859658198,7.964697871332747,2.8884665839472885,20.118338801600274,7.874682715980478,4.061947026040173
50.0,3.8741939966704075,5.567980997398772,8.090836690780245,0.6614620048690977,2.480141972443908,11.672033447246097,5.168710178268739,3.355458690494662,0.8608751792448558,7.82051917970678,1.3933483965847508,0.5047517251218098
100.0,2.693773586792966,3.805146528071453,4.2637681942637204,1.9543795758070288,0.9876477896797514,4.477604707851105,1.991354402621809,1.3672371493254254,2.1490929951812867,1.3011047969703111,1.2398558992141733,1.8323467072984745
200.0,2.9023457159097927,2.6538172865762144,2.8323742286832654,2.2368595593018035,0.5553395119998202,2.304946058639189,1.1298209081318322,0.7452781594275251,2.3995702828477556,0.8259083899769284,1.7543632521442099,2.1781888328485794
300.0,2.87783689602949,3.8913655191447,2.001855009839675,2.2616417905169093,0.37643422835074714,1.5235073192073676,0.766996885536791,0.4978695101029002,2.4256372502451504,1.3174703400840841,1.9229588827434547,2.2270384044628786
400.0,1.1869575722477892,2.740442910877264,1.6576263922240546,2.2694426572190727,0.2818174486509352,1.114309933406984,0.5412863196170046,0.3615843746928874,2.4275990027957026,1.5907518803570717,2.0408789184279796,2.264660263608602
500.0,1.3856239758805038,1.2890446725626359,1.2223838887637901,2.2798254864038023,0.19177811114280924,0.8046454071992774,0.39960354065335874,0.2533042131219346,2.4434141561189566,1.8133259698177775,2.1165713291860806,2.29832914000687
600.0,1.2533593839033916,1.5269514575763716,1.0126060912548522,2.2752968447867716,0.1713454384611132,0.6415474730348556,0.3239751752394856,0.2221791507272109,2.4288159920567303,1.9232155716936816,2.160699707347367,2.297943393418694
700.0,1.2576594465077666,2.3857584329873105,0.8610728156209813,2.2542416454709295,0.15951658528836787,0.5417941761161424,0.296077881819686,0.20894648423052858,2.4010918850092144,1.9725813864553676,2.1538624301538984,2.2743959359832955
800.0,1.073723340721172,1.41982093219196,0.9064371389988708,2.2442047194707357,0.1456524750533593,0.4915639953080845,0.2529472895618574,0.1900742804511378,2.3876593978184744,1.9965849343420856,2.1695542300424067,2.2666059126888474
900.0,0.9223733472152414,1.638487473571225,0.810021189699604,2.237563120159331,0.12875835581447923,0.46946813661602016,0.24203323659271372,0.1765986469947857,2.3837271786639653,2.012731929218762,2.168465530607743,2.261188164527943
1000.0,0.9694301134618708,1.7937200814259324,0.5564554511590425,2.231708959623222,0.11090522270363298,0.42232420060567355,0.2181491380051923,0.1497227022116828,2.3767669181519913,2.0347931281790363,2.173333759463022,2.2648331224308866
