n,true,quad,mc,qmc,bq,gbq_uni,gbq_uni_m12,gbq_uni_m32,gbq_uni_m52,gbq_gauss,gbq_gauss_m12,gbq_gauss_m32,gbq_gauss_m52
10.0,15.087708873902965,13.302056067277068,13.887673299122557,10.10105817307055,10.147569814618606,9.717029086745695,7.208635499102806,8.850607240190337,9.366598378935503,10.15304468518568,7.64915148382467,9.371989762127177,9.875959214708685
25.0,15.087708873902965,13.49390040569784,16.93900303648254,11.045292656060404,12.356597046368652,11.979282421168765,9.822061777596451,11.233056410649937,11.748525699752781,12.400899896986653,10.32097651635205,11.766064226666979,12.24988731561664
50.0,15.087708873902965,13.322956177233454,14.987326150634027,11.723708987634462,12.806228258876814,12.430735098637411,11.199974546337103,12.090337070296112,12.318893573788321,12.846695076664792,11.701580089771436,12.574165738215516,12.775592926575094
100.0,15.087708873902965,13.610736192241784,14.890118388493775,14.405415362738461,15.321260939163091,14.652055820092338,11.06809703549874,13.434986299574941,14.173394788168,15.408701356031852,12.020585058575374,14.287401930050702,14.9543453384087
200.0,15.087708873902965,13.812624765621852,14.411596252308362,13.875971274722408,14.756047265516235,14.204658852331747,11.832305131496998,13.475900042609931,13.859879250712382,14.773824865304755,12.751766395114938,14.25073804146549,14.523420258540497
300.0,15.087708873902965,13.544537981034164,14.410222376513584,14.257524666435003,15.024463010628654,14.700811884155035,13.415618250406862,14.242532471567031,14.504277531209118,15.112791618066202,14.15179560005318,14.794607187026495,14.969280071965262
400.0,15.087708873902965,13.595655070508087,15.055048244612971,14.598000288243231,15.257140723223984,14.880676853331789,13.864142045207837,14.617078752421758,14.78346723460858,15.346091397406628,14.610456140055316,15.155088780426274,15.287745885389825
500.0,15.087708873902965,13.742113147668718,15.085805539124303,14.96856744382255,15.595307223498702,15.22574031636999,14.387616397031428,15.047777314860827,15.122626259395606,15.73455414142428,15.136691406617633,15.622141688505327,15.661759195352294
600.0,15.087708873902965,13.837583484169112,15.389010344962008,14.983252678847894,15.48623957169892,15.096649169955864,14.434868583360691,14.958720836869299,15.036055597838285,15.56940648735505,15.128431625251377,15.48067505004272,15.527630137705618
700.0,15.087708873902965,13.802001778205007,15.325260202154587,14.666882410683126,15.24776095022797,14.880605593811463,14.078907802278078,14.754106023758904,14.818131600291963,15.28957517107526,14.720034227263422,15.219988164293687,15.247437486339319
800.0,15.087708873902965,13.743255641514097,15.091005983307014,14.678312931146028,15.205004284463154,14.829553451541505,14.057396018465019,14.70485859779266,14.78158813653478,15.260184010956243,14.704522386386376,15.197549176731405,15.234119378795075
900.0,15.087708873902965,13.794693774711138,14.96935170211395,14.620178077065564,15.157180759525067,14.784353409340753,13.979286391728518,14.646965181381026,14.736994749876885,15.219403646886082,14.644082224327695,15.140211610296229,15.195671517935661
1000.0,15.087708873902965,13.816945710797313,14.925873319322141,14.68399430626747,15.142310387108529,14.810982623217019,14.139337955908866,14.697731286732951,14.778810543058956,15.210495185068265,14.75415333308364,15.144004327761627,15.192721902684848
