n,quad,mc,qmc,bq,gbq_uni,gbq_uni_m12,gbq_uni_m32,gbq_uni_m52,gbq_gauss,gbq_gauss_m12,gbq_gauss_m32,gbq_gauss_m52
10.0,2.718042018624228,13.004526326489465,3.311759985166444,2.9995261088948255,3.5118668311751486,5.455664245438469,4.125166386223246,3.7981557138796394,3.1153039237971383,5.4305220104297,3.782400327529869,3.419541919535283
25.0,5.395305254319972,20.993927354361098,2.2386717125915054,0.8583094456227844,1.1121927604308675,2.181955710307307,1.3621334643842056,1.1507787613523386,1.0842080573283042,2.291086187319353,1.2179328784938102,1.2445539360756752
50.0,3.8584617078383943,5.92054212620449,1.2872948086083271,0.5899462017497424,0.5576213942086254,1.1590426771089917,0.5881730481107907,0.4427938894391012,0.603129333785693,1.169621119325679,0.7002204564871342,0.5139879630347935
100.0,2.9843147644672974,3.635803522668141,0.7290710405340658,0.8312245815829434,1.5986799036111559,6.753266381154414,4.953172640744185,3.04808534114786,1.280932143566656,6.355999733255002,4.546430071815661,2.032884422232482
200.0,3.460603783681364,4.1452918500908345,0.30379599255707956,0.730630183361926,1.5904254917186267,6.159262166292748,3.1348984566165528,2.649183628978727,1.4411025485739155,5.433869756562829,2.907928455562866,2.155557476934172
300.0,2.83788840752987,4.393250801983192,0.4477571186568555,0.459017603858524,1.0009146114442655,2.6592882655049204,1.6335255395315385,1.3253422347921142,0.43757883563119865,2.023769217383511,0.6740306319790301,0.6601190180495394
400.0,2.1953071802251474,2.2800583250944135,0.35554638609907707,0.4216332933667461,0.7406742689226522,4.090860144535733,1.3091848077762362,1.0796981725605381,0.549222901778777,3.2353399885754124,0.6379070504896465,0.9219014690600273
500.0,2.638459846374938,4.168434002178949,0.341306853091798,0.4400760634558354,0.541414904531671,2.5712722851548087,0.6421436598035535,0.4082197900051971,0.6960209681305569,0.6688851380815608,0.8448507454115425,0.6804045387118487
600.0,1.8175861537772975,2.82833555408756,0.3557575200760958,0.3393867684083637,0.25141928009669456,3.3099303911859015,0.6603151802266577,0.36834838753635796,0.6848536593132416,1.0258503173486015,0.5811113706385395,0.6626393585748547
700.0,1.565720091154868,2.512758927346966,0.32199228861347395,0.34237999321354595,0.3084436335134423,3.2597814778586915,0.8781234827535371,0.4558556815997123,0.6056281294728635,2.113680641028706,0.4408415791589475,0.5596109208269191
800.0,1.3124003804496536,1.7970004134237767,0.4114859877395442,0.4356998629749094,0.5350212177494755,3.582521414766892,1.1599776098166452,0.7759221899837748,0.598642736500574,2.134834449640105,0.5071863507751251,0.6138897314431772
900.0,1.3136032404917395,2.2100316364517534,0.2960483065618018,0.2863345380444661,0.37911478821902017,3.5378505730771765,1.0225643763952927,0.6330049651759686,0.5362137705997189,2.0242616358464893,0.41516801911820855,0.5817548962233201
1000.0,2.915205783442374,2.1486139185998563,0.26742144889803804,0.24432677496609045,0.3542639155574035,3.3507163403950453,0.9591021203832406,0.5171095312457216,0.45900401896213633,1.7110718831941893,0.4955012532287715,0.5518280944560073
