n,true,quad,mc,qmc,bq,gbq_uni,gbq_uni_m12,gbq_uni_m32,gbq_uni_m52,gbq_gauss,gbq_gauss_m12,gbq_gauss_m32,gbq_gauss_m52
10.0,3.744889033148481e-15,0.410090266840379,4.09177117183133,0.49966870516432527,0.452559766906761,0.5298602435268681,0.8231347384893712,0.6223930949174672,0.573054676687671,0.4700279865597882,0.8193413512668559,0.570677549863259,0.5159305296405567
25.0,3.744889033148481e-15,0.8140279496301875,3.6598932596068856,0.337764270638224,0.1294992303927762,0.16780440581043438,0.3292071253286682,0.2055147315802977,0.17362614929554757,0.16358215527709336,0.34567241399294724,0.18375816698669245,0.1877746746537982
50.0,3.744889033148481e-15,0.5821534694896816,1.4961903150569873,0.19422329307169076,0.08900936543264937,0.08413229257679616,0.17487298484649602,0.08874183717371735,0.06680745295000337,0.09099839801469586,0.17646902941154366,0.10564722395029319,0.07754900750959366
100.0,3.744889033148481e-15,0.4502647235437289,1.0659985115210775,0.11000011607971495,0.18477541608672277,0.24120416968244382,1.0189131710677402,0.7473202680572943,0.4598862425005013,0.19326331269358188,0.9589747357795642,0.7348220381633289,0.3930268709925122
200.0,3.744889033148481e-15,0.5221258241611151,0.6843415537351489,0.04583585492759608,0.11023535501051085,0.2399587680468462,0.9292915444306991,0.47298435262678284,0.39970111347540804,0.23691793968987662,0.8198464494572595,0.43873977963670807,0.3497051734258048
300.0,3.744889033148481e-15,0.4281723410943479,0.9566541556779229,0.06755629052512264,0.09466671729992503,0.15101508265106783,0.4012256716172461,0.24646157778537123,0.19996377796831372,0.11563252496963257,0.3053404077984886,0.16319939352818583,0.18203601332653316
400.0,3.744889033148481e-15,0.3312215562402587,0.7202314539357061,0.05364380364631176,0.06361480381862389,0.11175077739895896,0.6172170690460775,0.19752599241864469,0.16290171699278452,0.08286515248918393,0.4981438741407422,0.14232697381018786,0.147403366773222
500.0,3.744889033148481e-15,0.39808314037587816,0.9136743604773767,0.06197258729491455,0.06639739527794894,0.0816871045956582,0.38794607673950976,0.18064529027292223,0.1035951372658528,0.10501361737285937,0.239265116216499,0.12746862088669267,0.10265745596566615
600.0,3.744889033148481e-15,0.274232107414289,0.5858028104707437,0.05367565892609825,0.0512056875740012,0.05652786262371034,0.49939266135096644,0.13023868589165943,0.06632581356178886,0.10332872632945315,0.3469724309959874,0.08767639183509009,0.09997709730567206
700.0,3.744889033148481e-15,0.23623128913365476,0.6861321559951047,0.04858125910241839,0.05165729661854856,0.04653707746459638,0.49182633930473124,0.1324887146312312,0.06877817812491065,0.09137540903332979,0.3191129686741784,0.0665128940586185,0.08443246656093317
800.0,3.744889033148481e-15,0.1980111486622387,0.5480845431395386,0.06208380788704648,0.06573712688964849,0.08072244374765135,0.5405204014052585,0.17501404477159352,0.11706888111276423,0.09032147327797267,0.34991584206118626,0.11121099631397524,0.09412912578509863
900.0,3.744889033148481e-15,0.19819263268354917,0.647226388396336,0.04466690662016444,0.04840166308849283,0.057199735544399534,0.5337805948595922,0.1542815361587631,0.09550594630310102,0.09440546604432803,0.3380191154895745,0.08356413126947729,0.09306893189854713
1000.0,3.744889033148481e-15,0.5326154349905476,0.5840005416672438,0.04034776967610918,0.03983555737202937,0.05345030822459051,0.5055463266291,0.1447065357268537,0.07801998063355876,0.08852984738995563,0.3400147175941044,0.09490412688458019,0.0973186498950719
