n,true,quad,mc,qmc,bq,sbq_uni,sbq_uni_m12,sbq_uni_m32,sbq_uni_m52,sbq_gauss,sbq_gauss_m12,sbq_gauss_m32,sbq_gauss_m52
10.0,1.4979556132593925e-14,0.0,12.694282263431823,0.12707097419663357,0.12768448222872925,0.1336279006955059,2.4808206236011623,1.2803170235522041,0.4268466214504828,0.11405505069103349,2.7063933938873976,1.3529339032788426,0.4574545201917652
20.0,1.4979556132593925e-14,7.489778066296963e-15,9.757006847764215,0.17033031894407957,0.16381458246348998,0.2562937373550579,2.1806574962695366,0.19288725434769885,0.555568615252873,0.21777129413386703,2.291362617516682,0.189052276803979,0.3265849927013386
30.0,1.4979556132593925e-14,7.489778066296963e-15,6.506849613207852,0.10935179874429346,0.11319329445084048,0.18460623820870525,1.428804585932024,0.16090611553604703,0.25866443522123284,0.14127964368564955,1.5707445245113179,0.13086585036209644,0.17458209665941593
40.0,1.4979556132593925e-14,7.489778066296963e-15,5.379889778948557,0.06041595799284172,0.05562200464385982,0.08768731650513785,0.46881467402352794,0.22072416437011685,0.2779749203410061,0.06494771677717757,0.5106363997193867,0.22283653591348532,0.2703188917571744
50.0,1.4979556132593925e-14,7.489778066296963e-15,5.845052101394887,0.05512114317197771,0.05372360360412843,0.09670192356790748,0.2769942286327068,0.07032903712605887,0.16463290338492267,0.0790691292485244,0.2923821071069049,0.06978228714492399,0.10300022840453808
60.0,1.4979556132593925e-14,7.489778066296963e-15,7.629055320663394,0.042078962152624085,0.0457311140387183,0.06366505310984273,0.1826324367937074,0.05806713533909028,0.1619027765265708,0.04759722562284655,0.20061709318494722,0.05379460094759178,0.1066764318047512
70.0,1.4979556132593925e-14,7.489778066296963e-15,5.4317950470496905,0.03868278935069185,0.042553360692567474,0.050646749299258186,0.06571799441519374,0.09375912903869897,0.12811289824010139,0.04324703338844559,0.09437907680537731,0.10425009950713192,0.1285831929553119
80.0,1.4979556132593925e-14,7.489778066296963e-15,5.291021341808996,0.04082803010192913,0.04267973702008872,0.050798366042171396,0.044748622414399405,0.038726593720082685,0.04997495533983706,0.04135833173484286,0.04167851221596736,0.03769074919709387,0.04071547148424111
90.0,1.4979556132593925e-14,7.489778066296963e-15,3.5922122982021203,0.039755846907374714,0.039021826765703135,0.05785201910318676,0.04472221203685031,0.0643570600340241,0.07236030419809461,0.045589930053526816,0.04534119352918381,0.06935765122866645,0.062192394036233827
100.0,1.4979556132593925e-14,7.489778066296963e-15,5.461402862291375,0.04425239143733138,0.04368022344993843,0.05960361661130389,0.055404232467477194,0.07772113583683075,0.07772759621607708,0.05187398278333927,0.05327661509815816,0.0764093569924238,0.07318241425634925
