n,quad,mc,qmc,bq,sbq_uni,sbq_uni_m12,sbq_uni_m32,sbq_uni_m52,sbq_gauss,sbq_gauss_m12,sbq_gauss_m32,sbq_gauss_m52
10.0,0.33830570457355963,19.420194182306336,3.145789464145193,5.422739536329419,9.76768489367802,5.578766503857763,8.86250478025906,9.807443709009544,5.524316324405225,4.068269191553098,5.020776442772999,5.7189364527758695
20.0,0.27420758960519376,8.640468930498526,3.912793821441549,1.474839043981552,3.5490562931320833,3.4869066694668156,3.0928376845969625,2.9375823879287473,1.8163851876689319,1.8069796546658268,1.435198675951154,1.292192711526606
30.0,0.3518870202931949,9.492354789981786,6.528708452865862,1.8627637522183549,4.045684859117169,3.5272027494342937,3.3933692965306834,3.512598995423324,2.1039206533418744,1.629769367711857,1.70562053986996,1.778540746693675
40.0,0.2134021120996607,8.561967353979046,2.9082713343626017,0.29017041295282775,1.4181190827655263,0.8356822761213655,0.9532623990520982,1.0308607551070277,0.46299392697145303,0.2770490894666485,0.2144540903560294,0.24724249201102114
50.0,0.22694904558282034,6.2885644593208365,0.8401489370112678,0.2102605705605834,1.2257350559083147,1.0308603043446094,0.9862689495190363,0.9845046413545117,0.39077972879252243,0.2183478991066584,0.23428590076863393,0.22700968385362358
60.0,0.3205755474159343,8.07212201968836,3.458280767765319,0.3944770105720919,1.4907824342856302,1.0624526900226545,1.015410439890053,1.058179351532141,0.5689619528563693,0.26688607579471835,0.24305337641159935,0.25809636418883547
70.0,0.18203241643546147,8.621532825253281,0.6172937041582294,0.3273529203486589,0.342347172461873,0.1711221780993569,0.22948343188846998,0.2961589113616811,0.21199301100144302,0.2969381185186943,0.2476195969710922,0.20808711414638054
80.0,0.2627162022000772,4.419411814102926,1.5734655813346865,0.2026331672385444,0.5373732292732221,0.2743525864687494,0.3313624416872165,0.37627121059823876,0.09731943412395126,0.21029244589351478,0.17118561875562427,0.15137897239081183
90.0,0.2340329239248436,4.326492358894809,1.4178568026755842,0.11624066630032341,0.6877851106460462,0.31800082730332757,0.40878596442817716,0.47011726485364935,0.11473490583583357,0.17827878500240185,0.12058067904550598,0.11059125595593455
100.0,0.19615692222643238,2.9971192097667307,1.2924387709895586,0.3471305665956925,0.3425086542572987,0.24541885609206288,0.26737084865991123,0.29401841833265957,0.1784279298932781,0.21766279094363322,0.19753086861404195,0.1823241388721742
