n,quad,mc,qmc,bq,sbq_uni,sbq_uni_m12,sbq_uni_m32,sbq_uni_m52,sbq_gauss,sbq_gauss_m12,sbq_gauss_m32,sbq_gauss_m52
10.0,9.362222582871203e-16,11.588710416743227,0.22424289617410734,0.22532555740979032,0.2358139429643258,4.377918757937071,1.1000714582817805,0.7532587455265208,0.2012736193449247,4.775988353505986,2.387530423225674,0.8072726846101077
20.0,0.0,9.027105526270956,0.300582916498107,0.289084557975619,0.4522830669956943,0.9945167465531609,0.34038927318734263,0.9804152057177122,0.3843022846790724,1.1344029758532264,0.3336216657411632,0.5763264590780799
30.0,0.0,6.476592403621904,0.19297376294859717,0.19975287303508713,0.32577571526026683,0.6769673685999882,0.28395196926793226,0.4564666514753586,0.2493170188613798,1.1349005611081135,0.2309397364820179,0.308086053660652
40.0,0.0,6.119072826816321,0.10661639671136593,0.09815647901658424,0.15474232361215853,0.5963428307340396,0.3895132321671929,0.4905439782383078,0.11461361811449616,0.5294331605993403,0.3932409466643503,0.47703333952884514
50.0,0.0,5.44520440791523,0.09727260582880903,0.0948063595267426,0.1706504537607395,0.48881334580778374,0.12411006581156409,0.2905286537227563,0.13953375782904526,0.5159684255326765,0.12314521290138569,0.18176510938121124
60.0,0.0,8.726682114096317,0.07425699221053944,0.08070196614249492,0.11235009399028996,0.3222925362843447,0.10247141554783505,0.28571078278480166,0.08399510423996026,0.35403016528549724,0.09493164895668156,0.18825252716171273
70.0,0.0,5.448958429177121,0.06826374607523754,0.07509416610654697,0.08937661662288944,0.11597293159657913,0.16545728693214584,0.22608158566695014,0.07631829439630027,0.166551312405355,0.18397076427338402,0.22691151751929425
80.0,0.0,5.9893077459506125,0.0720494650570072,0.07531718315564397,0.08964417558160749,0.07896815738957588,0.06834104790375803,0.08819109786815199,0.07298529147025577,0.07355031585005378,0.06651308697649187,0.0718508322017916
90.0,0.0,3.164301721804683,0.07015737706211991,0.06886204739726773,0.10209179866004413,0.07892155084084909,0.11357128268292435,0.1276946547707354,0.08045281793274127,0.08001387112403385,0.12239585540032659,0.10975128385421493
100.0,0.0,5.540987739371533,0.0780924556632568,0.07708274744781048,0.10518285309348016,0.09777217517499552,0.13715494592040242,0.13716634658968777,0.09154232277641534,0.09401755627903784,0.13484004207182915,0.12914543722992713
