x,y
2.5,-3.46875
1.25,-3.7958984374999996
3.75,-13.5908203125
0.625,-4.318817138671875
3.125,-7.701995849609375
1.875,-2.671783447265625
4.375,-13.769805908203125
0.3125,-3.854506492614746
2.8125,-5.16306209564209
1.5625,-3.154566764831543
4.0625,-15.135119438171387
0.9375,-4.266903877258301
3.4375,-10.742085456848145
2.1875,-2.6850061416625968
4.6875,-7.32608127593994
0.15625,-3.457478016614914
2.65625,-4.200540512800217
1.40625,-3.477008074522018
3.90625,-14.613976210355759
0.78125,-4.355709880590439
3.28125,-9.193659156560898
2.03125,-2.596923440694808
4.53125,-11.342267125844955
0.46875,-4.149381548166275
2.96875,-6.3410753309726715
1.71875,-2.8716284334659576
4.21875,-14.937666088342667
1.09375,-4.070955544710159
3.59375,-12.24924448132515
2.34375,-2.9678201973438254
4.84375,-1.350348025560379
0.078125,-3.2329081436619163
2.578125,-3.8054678281769156
1.328125,-3.639505921863019
3.828125,-14.152928262017667
0.703125,-4.3537043100222945
3.203125,-8.435570902191103
1.953125,-2.6162395691499105
4.453125,-12.73310028668493
0.390625,-4.016574050299823
2.890625,-5.726736064068973
1.640625,-3.0054217083379626
4.140625,-15.141103665344417
1.015625,-4.180766331963241
3.515625,-11.507950860075653
2.265625,-2.800387057475745
4.765625,-4.608038428239523
0.234375,-3.666612801142037
2.734375,-4.653532055206597
1.484375,-3.3135791840031734
3.984375,-14.950036478228867
0.859375,-4.326107759959996
3.359375,-9.966313947923481
2.109375,-2.6184393810108295
4.609375,-9.554927383549511
0.546875,-4.250576325692236
3.046875,-7.001447358168662
1.796875,-2.7586350375786424
4.296875,-14.492212140001357
1.171875,-3.941254408098757
3.671875,-12.949587942101061
2.421875,-3.189948515035212
4.921875,2.5002710362896323
0.0390625,-3.117000472237123
2.5390625,-3.629822286282433
1.2890625,-3.718780062597943
3.7890625,-13.883089942362858
0.6640625,-4.340420039341552
3.1640625,-8.065154366166098
1.9140625,-2.6397839607379856
4.4140625,-13.293170812510652
0.3515625,-3.9390093192632776
2.8515625,-5.438322277012048
1.6015625,-3.078418007324217
4.1015625,-15.162341665680287
0.9765625,-4.227011100127129
3.4765625,-11.12713370352867
2.2265625,-2.7363793214026364
4.7265625,-6.031297104171243
0.1953125,-3.5643671051075216
2.6953125,-4.419859747256851
1.4453125,-3.3950790314411274
3.9453125,-14.799205010611331
0.8203125,-4.344750749267405
3.3203125,-9.578845300100511
2.0703125,-2.602303874999051
4.5703125,-10.500910821690923
0.5078125,-4.204037241259357
3.0078125,-6.665843767666956
1.7578125,-2.8121945733146276
4.2578125,-14.747318961279234
1.1328125,-4.008336340164533
3.6328125,-12.605627442797413
2.3828125,-3.071907430974533
4.8828125,0.49740288584143855
0.1171875,-3.346709987061331
2.6171875,-3.995715748431394
1.3671875,-3.5587016501522153
3.8671875,-14.397532707924256
0.7421875,-4.358755651308456
3.2421875,-8.81213813406066
1.9921875,-2.6017570480762506
4.4921875,-12.084537733724574
0.4296875,-4.0868068716081325
2.9296875,-6.02783420556807
1.6796875,-2.936263922281796
4.1796875,-15.067545706086094
1.0546875,-4.128595089685405
3.5546875,-11.882651832100237
2.3046875,-2.8774171482364173
4.8046875,-3.0499120868334995
0.2734375,-3.7635291463520844
2.7734375,-4.901354834699305
1.5234375,-3.2331818391394327
4.0234375,-15.063156928197714
0.8984375,-4.300053983723046
3.3984375,-10.354586353321793
2.1484375,-2.645844707993091
4.6484375,-8.498609394562662
0.5859375,-4.288862207002239
3.0859375,-7.3471152773418
1.8359375,-2.7116137035482097
4.3359375,-14.167904922767775
1.2109375,-3.8702527866989835
3.7109375,-13.278799612569856
2.4609375,-3.322169372375356
4.9609375,4.665370256145252
0.01953125,-3.0585701404042993
2.51953125,-3.5474683817146797
1.26953125,-3.7576471698257587
3.76953125,-13.739588684823502
0.64453125,-4.330661756669542
3.14453125,-7.882602087322994
1.89453125,-2.6547654517189576
4.39453125,-13.541607919890339
0.33203125,-3.8975978550142827
2.83203125,-5.2990214148876476
1.58203125,-3.116141236153453
4.08203125,-15.154552333172433
0.95703125,-4.247776747127318
3.45703125,-10.935024769772099
2.20703125,-2.7091390426203352
4.70703125,-6.694355780694421
0.17578125,-3.511457071966106
2.67578125,-4.308395749633746
1.42578125,-3.436031673139041
3.92578125,-14.710688316647975
0.80078125,-4.351206187805474
3.30078125,-9.385878274281822
2.05078125,-2.598302497884105
4.55078125,-10.934317161102626
0.48828125,-4.177713075207976
2.98828125,-6.502060077057649
1.73828125,-2.8412190752196693
4.23828125,-14.850315769747795
1.11328125,-4.040236729072603
3.61328125,-12.428847834692533
2.36328125,-3.0181354373262357
4.86328125,-0.44542480160362175
0.09765625,-3.2901322605566747
2.59765625,-3.8987667802966826
1.34765625,-3.599255331176209
3.84765625,-14.27856471735413
0.72265625,-4.357251757285667
3.22265625,-8.623158362573122
1.97265625,-2.6078283965425717
4.47265625,-12.4202027530946
0.41015625,-4.052628897664363
2.91015625,-5.87573171029635
1.66015625,-2.97032018588925
4.16015625,-15.111111433837323
1.03515625,-4.155393624135286
3.53515625,-11.6961878433749
2.28515625,-2.837251498461227
4.78515625,-3.846240172609212
0.25390625,-3.715777008549594
2.75390625,-4.775689749151752
1.50390625,-3.2732003391020035
4.00390625,-15.011522864736435
0.87890625,-4.3139885110604155
3.37890625,-10.16044591735681
2.12890625,-2.63070223132945
4.62890625,-9.04092346471134
0.56640625,-4.270757129564117
3.06640625,-7.173074585883114
1.81640625,-2.734266007176302
4.31640625,-14.338991985862776
1.19140625,-3.906208658593641
3.69140625,-13.116187275739321
2.44140625,-3.254274120266018
4.94140625,3.562089922776977
0.05859375,-3.175156240989054
2.55859375,-3.7158203246626726
1.30859375,-3.679373742427742
3.80859375,-14.020985283653317
0.68359375,-4.348097847335339
3.18359375,-8.249522515482568
1.93359375,-2.626916517704557
4.43359375,-13.02387730459759
0.37109375,-3.978685169579876
2.87109375,-5.580912633316075
1.62109375,-3.0414828944894907
4.12109375,-15.158018125378476
0.99609375,-4.2046569110361816
3.49609375,-11.318186503206562
2.24609375,-2.766778786329268
4.74609375,-5.336122531455656
0.21484375,-3.616115063680809
2.71484375,-4.534912969586912
1.46484375,-3.3542335535939847
3.96484375,-14.8791244191425
0.83984375,-4.336373665476458
3.33984375,-9.77238445402054
2.08984375,-2.608994430677739
4.58984375,-10.041350292206516
0.52734375,-4.228331301540493
3.02734375,-6.832337475910208
1.77734375,-2.7846387903018694
4.27734375,-14.628134549832794
1.15234375,-3.975319861468051
3.65234375,-12.77930321023905
2.40234375,-3.129168570715591
4.90234375,1.4790070167755403
0.13671875,-3.4025279654388214
2.63671875,-4.096309815716268
1.38671875,-3.5179254398763073
3.88671875,-14.50946244214083
0.76171875,-4.358234518361314
3.26171875,-9.002357787024266
2.01171875,-2.598098270457739
4.51171875,-11.725448225836772
0.44921875,-4.119069287547063
2.94921875,-6.182973607786153
1.69921875,-2.903338302560769
4.19921875,-15.009901816077218
1.07421875,-4.100429003440695
3.57421875,-12.067090446792463
2.32421875,-2.920926652871457
4.82421875,-2.218227369151462
0.29296875,-3.8097953761762255
2.79296875,-5.030492065155158
1.54296875,-3.193608839967964
4.04296875,-15.104503622599623
0.91796875,-4.284344761284046
3.41796875,-10.548535034061388
2.16796875,-2.6639266901775036
4.66796875,-7.927245453641261
0.60546875,-4.304883661637177
3.10546875,-7.523460429468287
1.85546875,-2.6907593753576293
4.35546875,-13.978372299127841
1.23046875,-3.8334583931582524
3.73046875,-13.43711604985674
2.48046875,-3.39365531875319
4.98046875,5.811030286028654
0.009765625,-3.029293909301913
2.509765625,-3.5076554149313495
1.259765625,-3.7768545284856994
3.759765625,-13.66584200969416
0.634765625,-4.325000476327176
3.134765625,-7.7920477891698
1.884765625,-2.663024773863497
4.384765625,-13.658198605879505
0.322265625,-3.8762585066646977
2.822265625,-5.230620978239557
1.572265625,-3.135271574868483
4.072265625,-15.14626233849728
0.947265625,-4.257548163307973
3.447265625,-10.838645055167461
2.197265625,-2.6966874915464976
4.697265625,-7.0140866809683455
0.166015625,-3.4845951627957845
2.666015625,-4.2540159626750835
1.416015625,-3.456522093661959
3.916015625,-14.663331891066235
0.791015625,-4.353703775464936
3.291015625,-9.289664473486454
2.041015625,-2.5972894202604655
4.541015625,-11.141430980202102
0.478515625,-4.1637966593961835
2.978515625,-6.421212468213497
1.728515625,-2.8562559083738677
4.228515625,-14.895913281435213
1.103515625,-4.055747860666969
3.603515625,-12.339381895663763
2.353515625,-2.992547852582873
4.853515625,-0.9025704187579038
0.087890625,-3.2615937118928002
2.587890625,-3.851660881834704
1.337890625,-3.6194235142531563
3.837890625,-14.216557243241567
0.712890625,-4.355734516809406
3.212890625,-8.529181288811031
1.962890625,-2.6117461031364817
4.462890625,-12.579456785640303
0.400390625,-4.0348335038490575
2.900390625,-5.8008413392073805
1.650390625,-2.987745635329901
4.150390625,-15.127773045062185
1.025390625,-4.168261772294699
3.525390625,-11.60227546713233
2.275390625,-2.818409386520414
4.775390625,-4.231404289414256
0.244140625,-3.691366615807709
2.744140625,-4.714170433530597
1.494140625,-3.293350028365892
3.994140625,-14.98198435023798
0.869140625,-4.320277484198158
3.369140625,-10.063366603949106
